price,date,coin
3119.9396593690126,2026-01-13 05:01:43.113,ethereum
2.064038192397406,2026-01-13 06:01:34.092,ripple
76.43130093286412,2026-01-13 06:01:47.532,litecoin
91890.92695264723,2026-01-13 06:02:19.936,bitcoin
3129.2843367947426,2026-01-13 06:02:20.382,ethereum
76.51139650244791,2026-01-13 07:03:19.230,litecoin
2.0596489236288766,2026-01-13 07:03:23.955,ripple
92041.3942222977,2026-01-13 07:03:24.749,bitcoin
3129.2181337818843,2026-01-13 07:03:24.945,ethereum
91845.55360727236,2026-01-13 08:01:05.227,bitcoin
76.70639162571504,2026-01-13 08:01:14.188,litecoin
3119.7632986644458,2026-01-13 08:01:32.768,ethereum
2.051808249476227,2026-01-13 08:01:42.639,ripple
92068.61894171091,2026-01-13 09:01:31.088,bitcoin
76.41274295347912,2026-01-13 09:01:36.485,litecoin
2.0639299799946893,2026-01-13 09:02:29.587,ripple
3132.874054328134,2026-01-13 09:02:31.859,ethereum
76.07199346866842,2026-01-13 10:02:41.480,litecoin
2.0634135746095215,2026-01-13 10:03:06.305,ripple
3135.43485097706,2026-01-13 10:03:13.612,ethereum
92142.92265050135,2026-01-13 10:03:17.098,bitcoin
3129.777296600298,2026-01-13 11:01:25.693,ethereum
91991.89173712923,2026-01-13 11:01:42.096,bitcoin
75.60404092127551,2026-01-13 11:02:20.366,litecoin
2.0578074820840753,2026-01-13 11:02:24.005,ripple
2.058323397384372,2026-01-13 12:01:24.613,ripple
91920.04282099016,2026-01-13 12:01:34.653,bitcoin
3131.349790605605,2026-01-13 12:01:34.707,ethereum
76.25479899713878,2026-01-13 12:01:45.529,litecoin
3130.828169710614,2026-01-13 13:02:47.384,ethereum
2.0603116642884474,2026-01-13 13:02:58.560,ripple
76.56406153924488,2026-01-13 13:02:59.707,litecoin
91961.64040206757,2026-01-13 13:03:14.604,bitcoin
3139.9740785577437,2026-01-13 14:00:38.035,ethereum
76.4886712213723,2026-01-13 14:01:35.067,litecoin
92115.73196683275,2026-01-13 14:01:44.371,bitcoin
2.0684705129884278,2026-01-13 14:01:53.878,ripple
2.0800686213236816,2026-01-13 15:01:40.972,ripple
76.86841004628064,2026-01-13 15:01:52.502,litecoin
92439.17573841207,2026-01-13 15:01:56.467,bitcoin
3143.619142171232,2026-01-13 15:01:59.322,ethereum
2.0893869278102946,2026-01-13 16:01:34.171,ripple
3168.563161769329,2026-01-13 16:01:35.476,ethereum
93202.17937499398,2026-01-13 16:01:41.787,bitcoin
76.76312173206644,2026-01-13 16:01:42.245,litecoin
2.108034181893753,2026-01-13 17:01:05.306,ripple
93623.54320209933,2026-01-13 17:02:05.112,bitcoin
3190.0954724087255,2026-01-13 17:02:05.136,ethereum
77.71474140515812,2026-01-13 17:02:08.601,litecoin
93209.70810630525,2026-01-13 18:00:51.642,bitcoin
3177.635444658659,2026-01-13 18:01:07.579,ethereum
2.0902533174733566,2026-01-13 18:01:08.523,ripple
76.88393763201415,2026-01-13 18:01:39.060,litecoin
2.104996254180354,2026-01-13 19:02:59.832,ripple
76.27770960004524,2026-01-13 19:03:13.810,litecoin
3198.81518356044,2026-01-13 19:03:26.995,ethereum
93573.8718722901,2026-01-13 19:03:33.345,bitcoin
77.1001066042159,2026-01-13 20:00:39.381,litecoin
2.13044631783908,2026-01-13 20:00:43.218,ripple
3210.4232974148085,2026-01-13 20:00:53.479,ethereum
94135.51646541804,2026-01-13 20:01:06.130,bitcoin
76.69516738498477,2026-01-13 21:02:38.756,litecoin
3203.2008890272687,2026-01-13 21:02:48.175,ethereum
94430.0459304443,2026-01-13 21:03:36.446,bitcoin
2.1315366264873252,2026-01-13 21:03:39.474,ripple
3209.102996140998,2026-01-13 22:01:13.327,ethereum
77.15987203470222,2026-01-13 22:01:14.686,litecoin
2.1224798076699023,2026-01-13 22:01:34.866,ripple
94070.57542896655,2026-01-13 22:02:12.658,bitcoin
2.1729165668030497,2026-01-13 23:00:29.355,ripple
95724.32374950121,2026-01-13 23:00:47.158,bitcoin
3330.1019109696003,2026-01-13 23:00:48.793,ethereum
78.47142904357737,2026-01-13 23:02:10.233,litecoin
95260.4422971001,2026-01-14 00:02:25.762,bitcoin
2.1573149435015675,2026-01-14 00:02:25.820,ripple
3319.9354070565078,2026-01-14 00:02:26.713,ethereum
77.98176339254152,2026-01-14 00:03:23.522,litecoin
95214.28157056436,2026-01-14 01:00:21.846,bitcoin
2.16732979097887,2026-01-14 01:00:27.245,ripple
3322.426209494073,2026-01-14 01:01:05.522,ethereum
